x,y,z,rx,ry,rz
-0.4786843004396665,0.2617101540065231,0.4666666666666667,4.041,1.516,-1.466
-0.5207805860373738,0.16253751998877197,0.4666666666666667,4.041,1.516,-1.466
-0.5425669451398025,0.05702608384935307,0.4666666666666667,4.041,1.516,-1.466
-0.5431937313433933,-0.05070931301814628,0.4666666666666667,4.041,1.516,-1.466
-0.5226365006076722,-0.1564670969568282,0.4666666666666667,4.041,1.516,-1.466
-0.48169696454859234,-0.2561228192531916,0.4666666666666667,4.041,1.516,-1.466
-0.162932303660715,0.5682124691546507,0.4666666666666667,4.041,1.516,-1.466
-0.2714183924465446,0.5251137038020869,0.4666666666666667,4.041,1.516,-1.466
-0.3693194330415408,0.4615360246577586,0.4666666666666667,4.041,1.516,-1.466
-0.4528173819325514,0.37995889817026557,0.4666666666666667,4.041,1.516,-1.466
-0.5186559019020419,0.2835637513879232,0.4666666666666667,4.041,1.516,-1.466
-0.5642673559508815,0.17610989945830285,0.4666666666666667,4.041,1.516,-1.466
-0.5878729425954683,0.061787936064879506,0.4666666666666667,4.041,1.516,-1.466
-0.5885520673618844,-0.054943695571596375,0.4666666666666667,4.041,1.516,-1.466
-0.5662782450576,-0.1695325775581112,0.4666666666666667,4.041,1.516,-1.466
-0.5219201326677213,-0.27750985711343773,0.4666666666666667,4.041,1.516,-1.466
-0.17548911653682275,0.6120032797473964,0.4666666666666667,4.041,1.516,-1.466
-0.292335975323064,0.5655829930048794,0.4666666666666667,4.041,1.516,-1.466
-0.39778202092632126,0.4971055303174731,0.4666666666666667,4.041,1.516,-1.466
-0.4877149621190826,0.4092414448337635,0.4666666666666667,4.041,1.516,-1.466
-0.5586275033644172,0.3054173487693233,0.4666666666666667,4.041,1.516,-1.466
-0.6077541258643894,0.1896822789278337,0.4666666666666667,4.041,1.516,-1.466
-0.6331789400511341,0.06654978828040593,0.4666666666666667,4.041,1.516,-1.466
-0.6339104033803755,-0.059178078125046475,0.4666666666666667,4.041,1.516,-1.466
-0.6099199895075279,-0.18259805815939423,0.4666666666666667,4.041,1.516,-1.466
-0.5621433007868502,-0.2988968949736839,0.4666666666666667,4.041,1.516,-1.466
