,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
114,-0.372595442,-0.426947008,0.344444444,-0.397428422,-0.449389313,0.3428125999999999,0.649253591,-1.366529176,1.536125486,-0.169318486,1.501969574,1.536507261
115,-0.350678063,-0.401832478,0.344444444,-0.37549938,-0.42419439,0.34298193,0.633882698,-1.445930273,1.62984004,-0.183631615,1.486598682,1.536502974
116,-0.328760684,-0.376717948,0.344444444,-0.353605946,-0.399012576,0.3430496309999999,0.615974144,-1.525950699,1.717338305,-0.191108987,1.46869013,1.536497965
117,-0.306843305,-0.351603418,0.344444444,-0.3317072969999999,-0.373772111,0.34309699,0.594830929,-1.607371622,1.799131063,-0.191480154,1.447546917,1.536492027
118,-0.284925926,-0.326488888,0.344444444,-0.309783254,-0.348518911,0.343149316,0.569472951,-1.690983927,1.875524452,-0.184260268,1.422188942,1.536484866
119,-0.263008547,-0.301374359,0.344444444,-0.287924126,-0.323331174,0.342986768,0.538465764,-1.777600835,1.946628567,-0.168746033,1.39118176,1.536476036
120,-0.263008547,-0.301374359,0.288888889,-0.287566159,-0.32337582,0.287601846,0.538465758,-1.742523314,2.065095445,-0.322290366,1.391181731,1.536476026
121,-0.284925926,-0.326488888,0.288888889,-0.3094054269999999,-0.348572565,0.28756485,0.569472951,-1.655052879,1.990403608,-0.335070492,1.422188944,1.536484962
122,-0.306843305,-0.351603418,0.288888889,-0.331321616,-0.373826816,0.287594912,0.594830929,-1.571623759,1.911047413,-0.339144382,1.447546918,1.536492126
123,-0.328760684,-0.376717948,0.288888889,-0.3532090539999999,-0.399017886,0.287443216,0.615973713,-1.491182927,1.826969715,-0.335508183,1.468689699,1.536498062
124,-0.350678063,-0.401832478,0.288888889,-0.375134074,-0.4242304149999999,0.287500945,0.633882732,-1.412798716,1.737946064,-0.324869205,1.486598717,1.536503067
125,-0.372595442,-0.426947008,0.288888889,-0.397110239,-0.4494434309999999,0.287314549,0.649253916,-1.335600831,1.64355974,-0.307681093,1.5019699,1.536507351
126,-0.394512821,-0.452061538,0.288888889,-0.418965606,-0.474665878,0.287112213,0.662595289,-1.258723572,1.543153682,-0.284152525,1.515311272,1.53651106
127,-0.4164302,-0.477176068,0.288888889,-0.440873212,-0.499813246,0.287161946,0.674286814,-1.181239132,1.435743607,-0.254227053,1.527002796,1.536514307
128,-0.438347579,-0.502290598,0.288888889,-0.4629292029999999,-0.525034853,0.286937188,0.684618604,-1.102062548,1.319860013,-0.217520156,1.537334586,1.536517173
129,-0.460264958,-0.527405127,0.288888889,-0.4849155579999999,-0.5502705290000001,0.286800563,0.693816142,-1.019791427,1.193245776,-0.17317712,1.546532123,1.536519722
130,-0.460264958,-0.527405127,0.233333333,-0.484572424,-0.550243085,0.231330372,0.693816142,-0.987390156,1.287220153,-0.299552763,1.546532121,1.536519617
131,-0.438347579,-0.502290598,0.233333333,-0.462621954,-0.525026062,0.231466317,0.684617798,-1.064936888,1.410660722,-0.345446515,1.537333779,1.536517094
132,-0.4164302,-0.477176068,0.233333333,-0.440593058,-0.499846563,0.231650038,0.6742861,-1.139980923,1.524995293,-0.384736938,1.527002082,1.536514227
133,-0.394512821,-0.452061538,0.233333333,-0.418687472,-0.4746687309999999,0.23187195,0.662594659,-1.21372394,1.632052551,-0.418051016,1.515310642,1.536510978
134,-0.372595442,-0.426947008,0.233333333,-0.396806585,-0.449429816,0.2317670339999999,0.649253392,-1.287151115,1.733063789,-0.445634849,1.501969375,1.536507263
135,-0.350678063,-0.401832478,0.233333333,-0.374853907,-0.424249297,0.231946341,0.633882375,-1.361159207,1.828881841,-0.467444481,1.486598359,1.536502975
136,-0.328760684,-0.376717948,0.233333333,-0.352929458,-0.399056908,0.232048361,0.61597366,-1.436640278,1.920094915,-0.483176016,1.468689645,1.536497963
137,-0.306843305,-0.351603418,0.233333333,-0.331026919,-0.3738521999999999,0.232041844,0.594831461,-1.514552261,2.007089771,-0.492258222,1.447547449,1.536492023
138,-0.284925926,-0.326488888,0.233333333,-0.309112623,-0.348640359,0.2321430159999999,0.569472951,-1.595983829,2.090076924,-0.493812836,1.422188941,1.536484859
139,-0.263008547,-0.301374359,0.233333333,-0.287241582,-0.323462648,0.232248805,0.538465764,-1.682274403,2.169132733,-0.48657663,1.39118176,1.536476027
140,-0.263008547,-0.301374359,0.177777778,-0.286866917,-0.323579056,0.176739542,0.538465754,-1.593435772,2.257004762,-0.663287144,1.391181716,1.536476092
141,-0.284925926,-0.326488888,0.177777778,-0.308793308,-0.348808552,0.17674271,0.569472951,-1.511646644,2.173164532,-0.661237652,1.422188943,1.536484978
142,-0.306843305,-0.351603418,0.177777778,-0.330654945,-0.3739777609999999,0.176656878,0.594830929,-1.434930541,2.08623596,-0.651026147,1.447546917,1.536492139
143,-0.328760684,-0.376717948,0.177777778,-0.352548296,-0.399149669,0.176524643,0.615972048,-1.361768471,1.996079973,-0.634032893,1.468688033,1.53649807
144,-0.350678063,-0.401832478,0.177777778,-0.374501066,-0.424351696,0.176439203,0.633881261,-1.290956266,1.90241112,-0.61117671,1.486597246,1.536503072
145,-0.372595442,-0.426947008,0.177777778,-0.396491587,-0.449502648,0.176417711,0.649252626,-1.22151748,1.80482346,-0.583028162,1.501968609,1.536507354
146,-0.394512821,-0.452061538,0.177777778,-0.418365292,-0.4747053149999999,0.1762913519999999,0.662594151,-1.152575684,1.702737441,-0.549884169,1.515310134,1.536511062
147,-0.4164302,-0.477176068,0.177777778,-0.440280499,-0.499888365,0.176199892,0.674285802,-1.083284835,1.595354868,-0.511792607,1.527001784,1.536514307
148,-0.438347579,-0.502290598,0.177777778,-0.462286353,-0.525041341,0.175921741,0.684617692,-1.01274883,1.481567434,-0.468541289,1.537333674,1.536517172
149,-0.460264958,-0.527405127,0.177777778,-0.484267055,-0.5502526390000001,0.175863634,0.693816142,-0.939910722,1.359782825,-0.419594864,1.546532123,1.536519721
150,-0.460264958,-0.527405127,0.122222222,-0.48393731,-0.5502290679999999,0.120232862,0.693816142,-0.878877423,1.412510799,-0.533356144,1.546532121,1.536519662
151,-0.438347579,-0.502290598,0.122222222,-0.462018346,-0.5250578269999999,0.120536961,0.684617781,-0.946770347,1.533498655,-0.586450985,1.537333763,1.536517098
