x_t,y_t,z_t,x_m,y_m,z_m,j1_target,j2_target,j3_target,j4_target,j5_target,j6_target
-0.4403309262137086,-0.16119180574921413,0.17789410724885718,-0.4402827391170895,-0.16099656999643983,0.17779161918332015,0.0888803261794901,-1.440503326960327,2.130341157550588,-0.8202677073269031,1.437907489546301,0.0112278555466267
-0.47158081762328985,-0.1728017584791991,0.17821381903177802,-0.47157258341805625,-0.1725682836389445,0.17812990371183682,0.1130615529236509,-1.3665753196084125,2.0752184696046285,-0.9496370784370408,1.4763695582544178,-0.0821943454766982
-0.5031312339286574,-0.18370760114498214,0.17793419159315985,-0.503153518119172,-0.1834636970608333,0.1779195996735235,0.1534106386164659,-1.292609447872215,1.9454433541231184,-0.7970686183516702,1.6372511515490382,0.0591113184660936
-0.5344583853330478,-0.19494252994791075,0.17686552242325812,-0.5344708997170909,-0.19479694345286114,0.17676542371776885,0.1336275443579553,-1.2010849452447565,1.7347701636402002,-0.3454734894420586,1.4245954049422167,-0.1849802404216469
-0.5656819338323933,-0.20698879422812066,0.17836447416141235,-0.5657020336921113,-0.20675771529103498,0.17807609970598337,0.1599626687589883,-1.1627635306438688,1.788242618613519,-0.8700798106746417,1.52659138684324,0.1632532680307736
-0.5972903941571277,-0.2179549300162465,0.17840391340534484,-0.5972491839118325,-0.2176370011274189,0.17816204668676736,0.1998838901383877,-1.0881255942694876,1.6701155091080322,-0.8259471715730187,1.7543051754843262,-0.0936555488970802
-0.6288144230087287,-0.22888180646908646,0.17699181012432658,-0.6287986900521166,-0.2287276741054662,0.1768830455142624,0.1894123968040921,-0.9898262650341224,1.4124040519154466,-0.2726056693913214,1.6092742660370307,-0.1200279508320765
-0.6599332609044133,-0.24076012096168894,0.1783996076491795,-0.6599469633395837,-0.2405020668538407,0.17828080441852445,0.2178636132771934,-0.9520115648378508,1.4653844586325215,-0.8289217298704039,1.7859606034251891,0.1108620079389997
-0.6601117639497915,-0.2407919845436947,0.233275256876981,-0.6601025893580881,-0.2406235270447289,0.23309252887375137,0.1884861565368285,-1.005573040283304,1.3479831970181504,-0.4732034892636072,1.537092150488922,-0.0032888846296112
-0.6286772497388852,-0.22941480248828344,0.2337338070905859,-0.6286759809403899,-0.229145070144013,0.23347289032985963,0.1917812277169286,-1.085492113397625,1.4991760653360924,-0.6364155176793935,1.6282444625381478,-0.085859217191448
-0.5974579763912831,-0.21741229939998213,0.23329170532532278,-0.5974927850888491,-0.21724532263814592,0.2330488848132055,0.1931377717095714,-1.138974930444495,1.5342077684686943,-0.4402971181461192,1.7023448804014525,0.1267191724158132
-0.5660363405003516,-0.20605572352933543,0.23255792069191789,-0.5660322859595384,-0.205998745383447,0.23233267056918905,0.1537900728325532,-1.1909167498591806,1.5678614601677978,-0.2209445137228374,1.4823210293930096,-0.0481051335128244
-0.5345879341039572,-0.19500489271310079,0.23370368770363648,-0.5345764443410124,-0.19476811412582928,0.23351405801196862,0.1665012256167859,-1.2986397918716968,1.8005413693794567,-0.7008646594614665,1.647060222983872,0.0824377738340991
-0.5032829099564022,-0.18334444871650873,0.23301219923288588,-0.5032722249798802,-0.18324518465071338,0.23283522196438092,0.1353604276974391,-1.358820343966965,1.8237280263594784,-0.4539811840153018,1.5226533027787124,0.1204915488971432
-0.4718165920263408,-0.17218797400731936,0.23316056530044277,-0.4717923909258761,-0.1721183094482875,0.2330117386855805,0.1060676903794033,-1.4443408732056928,1.9461285866327136,-0.5702164529780314,1.434813967594689,0.12354823914356
-0.4406507635227662,-0.1602048686097582,0.23365540102923377,-0.44057824866196205,-0.1600936502744308,0.23344967928191648,0.1435456959603733,-1.51316373924778,2.0429913747240818,-0.6744291614695048,1.7406704962153323,0.1256413965353942
-0.4090388847478661,-0.14919072510643094,0.23257769582253868,-0.4090191555443735,-0.14921810051331558,0.23250540967767477,0.0423218560682512,-1.588125064073452,2.066856169478899,-0.4061011625462409,1.3040009594852284,0.1348556468237824
