step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_set,y_set,z_set,rx_set,ry_set,rz_set
84,0.20929,-0.418248,0.865923,3.2139,1.61323,1.5898,-3.36281,-2.92019,1.91344,-1.88531,0.172505,-0.243754,168.22186,-3262.158652,-362.154713,-90.806854,-18.595806000000003,-91.025911
85,0.0977333,-0.804486,0.93898,3.16963,1.67822,1.71619,-4.31793,-2.97278,1.40637,-1.46355,1.29425,-0.0283139,143.3535567,-2857.901414,-290.85488000000004,-86.52515,-28.34062,-88.766216
86,-0.231447,-0.596729,1.13272,2.90749,1.48252,1.46573,-4.93293,-2.55262,1.1128,-1.79323,1.91905,-0.0115956,525.246647,-2940.428171,-92.48119000000001,-98.64950999999999,-28.831012,-93.11434799999999
87,0.117216,-0.603654,1.03828,3.41701,1.26282,1.59204,-3.9578,-2.59069,1.30357,-2.38373,0.615831,0.358201,187.782974,-3055.285846,-184.56154999999998,-110.52016,-5.7257709000000006,-98.18602899999999
88,0.0508939,-0.778687,0.709455,3.1526,1.22806,1.71869,-4.38865,-3.18277,1.75706,-2.06441,1.39357,0.059047,196.9703661,-2865.531513,-512.524645,-115.33606,-27.270947,-102.31406
89,0.0811414,-0.514657,1.1436,3.76985,1.34255,1.55264,-3.78874,-2.19454,0.79142,-3.37792,0.184487,1.50384,245.9253086,-3126.997743,-80.322415,-104.75096,16.096153,-96.27588899999999
90,-0.00982344,-0.502384,1.0195,3.80379,1.33018,1.4985,-3.92906,-2.45128,1.32058,-3.38549,0.192602,1.22019,334.93527344,-3106.478116,-204.01399,-105.41826,21.179962,-95.78802999999999
91,0.305763,-0.716986,1.14972,3.57545,1.55391,1.49155,-3.82607,-2.51747,0.682947,-1.39718,0.171017,0.0810789,-32.433368,-3014.1826140000003,-78.435867,-94.56141000000001,7.8187801,-91.964703
92,0.357312,-0.838837,1.13284,3.44513,1.72345,1.71899,-3.94776,-2.52314,0.477758,-0.857711,0.660381,-0.144625,-116.955772,-2916.059963,-98.469003,-85.194748,-12.589851,-87.82432100000001
93,-0.252747,-0.758858,0.783583,3.00508,1.65885,1.45778,-4.87433,-3.22124,1.66296,-1.49457,1.75517,0.00353048,489.000057,-2781.340342,-444.560903,-87.77225700000001,-23.038703,-90.408721
94,-0.298665,-0.786224,1.17346,2.80705,1.33401,1.43815,-4.9895,-2.31191,0.341881,-1.42337,2.04471,-0.0386899,524.576305,-2738.430576,-49.734215999999996,-108.08714,-32.54111,-95.087111
95,-0.0305218,-0.575727,1.15761,2.89814,1.65054,1.42089,-4.39574,-2.53723,1.2359,-1.76102,1.3485,-0.0374091,341.82434179999996,-3029.849073,-70.619634,-88.157333,-27.060541999999998,-90.707416
96,-0.0850031,-0.651785,0.918292,3.09954,1.39212,1.71475,-4.61834,-2.86815,1.59188,-2.04447,1.66109,-0.00965721,369.5722531,-2938.717615,-305.39482200000003,-105.14282,-31.5519,-97.60440799999999
97,-0.114894,-0.401015,0.717833,3.34079,1.36202,1.62727,-4.28293,-2.84314,2.20887,-2.74998,1.00716,0.0885342,478.31530399999997,-3166.048785,-504.75136299999997,-105.38137,-12.695518999999999,-96.681345
98,0.15983,-0.736192,1.14467,3.46976,1.46013,1.41378,-4.01661,-2.5163,0.831831,-1.72889,0.400495,0.214204,98.853154,-2945.407708,-81.548029,-99.621034,6.426561100000001,-92.927435
99,0.213361,-0.498335,1.04936,3.50663,1.85297,1.5055,-3.58614,-2.6336,1.08368,-0.0194514,0.262913,-1.46998,130.130939,-3187.7055649999998,-182.99972,-78.49325,3.1969081,-87.246361
100,0.201983,-0.751033,1.10469,2.99051,1.6344,1.41492,-4.07546,-2.67064,1.05301,-1.44551,0.930108,-0.0574544,61.410399,-2945.208667,-124.54858,-89.3643,-21.406768,-90.971296
101,-0.318837,-0.821362,0.822074,2.93512,1.63301,1.41653,-4.96442,-3.14123,1.43259,-1.36914,1.87409,0.00551761,530.3039570000001,-2700.0144379999997,-405.112104,-89.343623,-24.658448,-90.884684
102,0.069609,-0.815581,0.992293,3.29136,1.79109,1.71952,-4.33265,-2.91503,1.28874,-1.28102,1.19524,-0.0544871,164.64355099999997,-2838.676319,-238.88392299999998,-80.261844,-21.133702,-85.640361
103,0.0212181,-0.608875,1.0647,3.02839,1.40616,1.61743,-4.32971,-2.61232,1.33998,-2.03689,1.35151,0.054487,282.8244319,-3015.7592250000002,-159.92579999999998,-103.95739,-30.245373999999998,-96.065059
104,0.0305402,-0.891675,1.16576,3.15648,1.36535,1.5787,-4.42816,-2.33683,0.358089,-1.37736,1.28485,0.0571921,174.33312980000002,-2753.652825,-59.115733,-105.91798,-20.545761,-96.190187
105,-0.0792117,-0.746416,1.03995,3.46811,1.53124,1.49017,-4.41523,-2.75029,1.23906,-1.67946,0.866319,0.0184179,321.56632169999995,-2853.854484,-186.75142,-95.72418599999999,1.7472452,-92.27752600000001
106,0.162549,-0.733554,0.807262,3.58757,1.40193,1.63488,-4.02666,-3.08849,1.64167,-2.00594,0.517677,0.198215,100.14491100000001,-2949.0230460000002,-417.773572,-102.38874799999999,0.7738935,-95.785266
107,-0.387058,-0.477439,1.12621,3.42164,1.44616,1.62943,-5.2153,-2.54128,1.15759,-1.88245,1.84736,-0.0696014,707.610528,-3001.062261,-98.109695,-100.496579,-8.6046738,-94.693625
108,0.0214642,-0.476,0.825105,3.06085,1.27286,1.57582,-4.08249,-2.77686,1.92819,-2.6357,1.05595,0.197725,327.05833579999995,-3140.9882,-396.879575,-111.92795,-25.206421000000002,-98.406644
109,0.31185,-0.594295,0.965516,3.65262,1.89121,1.65344,-3.66857,-2.83074,1.11406,-0.111099,0.287726,-1.14297,4.9219565,-3131.235505,-267.30589599999996,-77.771935,3.5044668999999997,-84.278333
110,-0.124832,-0.720029,0.721958,2.81752,1.22527,1.56635,-4.75644,-3.16154,1.77282,-2.10311,1.93097,-0.0149825,385.491102,-2858.7344709999998,-499.433988,-116.75572,-38.143506,-100.167729
111,-0.165692,-0.545869,1.11007,3.32388,1.54809,1.42358,-4.5282,-2.57098,1.33271,-1.929,1.05654,0.00779124,473.14219199999997,-3012.751131,-116.40512,-94.731398,-2.7108607,-91.910483
112,-0.247213,-0.658176,1.16169,2.83797,1.28066,1.48173,-4.96502,-2.412,0.778624,-1.81776,2.03009,-0.0527752,520.003273,-2876.215024,-60.478601,-111.77932,-32.886656,-96.752403
113,-0.0192421,-0.521359,1.08875,2.79984,1.62568,1.65334,-4.52247,-2.62174,1.43072,-1.89734,1.80478,-0.00674898,354.7305221,-3081.5565410000004,-139.13918,-89.031324,-45.94523,-90.247003
114,0.194982,-0.438714,0.748202,3.61734,1.88247,1.43169,-3.48035,-2.98753,1.6603,0.559063,0.402704,-2.26885,166.03225799999998,-3236.484886,-484.107762,-77.14306499999999,13.710516,-87.832823
115,-0.180083,-0.78034,1.10487,2.89206,1.74305,1.49303,-4.79745,-2.69962,1.00998,-1.27957,1.82671,0.000538916,414.351353,-2784.70876,-124.95659,-82.139252,-31.431569,-88.71450300000001
